"date","name","change","Посада.в.Україні","Сфера діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","killed"
2022-03-16,"Глава администрации города Мелитополь","TRUE","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-03-16,"Заступник голови з питань діяльності виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор департаменту реєстраційних послуг","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Керуючий справами виконавчого комітету","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор департаменту капітального будівництва та ЖКГ ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник управління соцзахисту населення","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Министр Министерства образования и науки","TRUE","Начальник управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-16,"Олена Шапурова ","ні","Україна","-","ні"
2022-03-16,"Начальник управління освіти","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник управління фізкультури і спорту","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник управління комунальної власності","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник управління культури та молоді","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Заступник начальника відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник фінансового управління","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор департаменту охорони здоров'я","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник відділу контролю виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник відділу кадрів виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник відділу ведення Держреєстру виборців","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник відділу виконкому з інфотехнологій і захисту інформації","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Комунальна власність""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Чистота""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Ритуальна служба ""Ритуал""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор ТОВ ""Тепло-Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ТРК ""Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Аптеки МЛТ""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Мелітополькомунтранс""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Водоканал""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Міськсвітло""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Мелітопольжитлосервіс""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Житломасив""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник лінійного відділу на залізничній станції ""Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Мелітопольський міський відділ Нацполіції України","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник залізничної станції ""Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник Мелітопольської державної податкової інспекції","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Окружний прокурор Мелітопольської міської прокуратури","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Голова Мелітопольського міськрайонного суду","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор ПАТ ""Мелітопольгаз""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Глава администрации города Мелитополь","TRUE","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-03-17,"Заступник голови з питань діяльності виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор департаменту реєстраційних послуг","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Керуючий справами виконавчого комітету","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор департаменту капітального будівництва та ЖКГ ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник управління соцзахисту населення","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Министр Министерства образования и науки","TRUE","Начальник управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-16,"Олена Шапурова ","ні","Україна","-","ні"
2022-03-17,"Замминистра Министерства образования и науки","TRUE","Начальник управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-17,"Вікторія Костроміна","так","Україна","-","ні"
2022-03-17,"Начальник управління фізкультури і спорту","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник управління комунальної власності","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник управління культури та молоді","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Заступник начальника відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник фінансового управління","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор департаменту охорони здоров'я","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник відділу контролю виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник відділу кадрів виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник відділу ведення Держреєстру виборців","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник відділу виконкому з інфотехнологій і захисту інформації","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Комунальна власність""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Чистота""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Ритуальна служба ""Ритуал""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор ТОВ ""Тепло-Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ТРК ""Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Аптеки МЛТ""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Мелітополькомунтранс""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Водоканал""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Міськсвітло""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Мелітопольжитлосервіс""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор КП ""Житломасив""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник лінійного відділу на залізничній станції ""Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Мелітопольський міський відділ Нацполіції України","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник залізничної станції ""Мелітополь""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник Мелітопольської державної податкової інспекції","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Окружний прокурор Мелітопольської міської прокуратури","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Голова Мелітопольського міськрайонного суду","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор ПАТ ""Мелітопольгаз""","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Глава администрации города Мелитополь","TRUE","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-05-12,"Заступник голови з питань діяльності виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Директор департаменту реєстраційних послуг","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Керуючий справами виконавчого комітету","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-12,"Директор департамента капстроительства и ЖКХ","TRUE","Директор департаменту капітального будівництва та ЖКГ ","ЖКГ","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-05-02,"Олексій Тегімбаєв ","так","Україна","-","ні"
2022-05-12,"Начальник управління соцзахисту населення","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
