"date","name","change","position","sphere","killed","Посада.в.Україні","Сфера.діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","Ліквідовані.так.ні"
2022-03-16,"Директор КП ""Мелітопольжитлосервіс""","FALSE","Директор КП ""Мелітопольжитлосервіс""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор КП ""Житломасив""","FALSE","Директор КП ""Житломасив""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник лінійного відділу на залізничній станції ""Мелітополь""","FALSE","Начальник лінійного відділу на залізничній станції ""Мелітополь""","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Мелітопольський міський відділ Нацполіції України","FALSE","Мелітопольський міський відділ Нацполіції України","Інше","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник залізничної станції ""Мелітополь""","FALSE","Начальник залізничної станції ""Мелітополь""","Інше","так",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Начальник Мелітопольської державної податкової інспекції","FALSE","Начальник Мелітопольської державної податкової інспекції","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Окружний прокурор Мелітопольської міської прокуратури","FALSE","Окружний прокурор Мелітопольської міської прокуратури","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Голова Мелітопольського міськрайонного суду","FALSE","Голова Мелітопольського міськрайонного суду","Інше","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-16,"Директор ПАТ ""Мелітопольгаз""","FALSE","Директор ПАТ ""Мелітопольгаз""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Глава администрации города Мелитополь","TRUE","Глава администрации города Мелитополь","Міськрада та виконком","ні","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-03-17,"Директор департаменту реєстраційних послуг","FALSE","Директор департаменту реєстраційних послуг","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Директор департаменту капітального будівництва та ЖКГ ","FALSE","Директор департаменту капітального будівництва та ЖКГ ","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Начальник управління соцзахисту населення","FALSE","Начальник управління соцзахисту населення","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-17,"Министр Министерства образования и науки","TRUE","Министр Министерства образования и науки","Освіта","ні","Начальник управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-16,"Олена Шапурова ","ні","Україна","Жінка разом з росвійськовими їздить в різні населені пункти окупованих територій (села, ОТГ, міста) й намагається організувати видимість навчального процесу. Також вона погрожувала вчителям, які не хочуть співпрацювати з росіянами та батькам, які не хочуть віддавати дітей у школи.","ні"
2022-03-17,"Замминистра Министерства образования и науки","TODAY","<span class='transit-from'>Заступник начальника управління освіти &#10143; </span> <span class='transit-to'>Замминистра Министерства образования и науки</span>","Освіта","ні","Заступник начальника управління освіти","Освіта","департамент","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-17,"Вікторія Костроміна","ні","Україна","Вікторія Костроміна до окупації працювала під керівництвом Олени Шапурової.","ні"
2022-03-17,"Начальник управління фізкультури і спорту","FALSE","Начальник управління фізкультури і спорту","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
